id,x,y
1,239081,3513770
1,239186,3513670
1,239216,3513670
1,239216,3513640
1,239246,3513610
1,239246,3513580
1,239276,3513550
1,239276,3513520
1,239336,3513460
1,239336,3513430
1,239516,3513250
1,239486,3513220
1,239486,3513190
1,239456,3513160
1,239486,3513130
1,239486,3513100
1,239636,3512950
1,239636,3512860
1,239756,3512740
1,239756,3512650
1,239786,3512620
1,239786,3512470
1,239876,3512380
1,239876,3512290
1,239936,3512230
1,239936,3512200
1,240026,3512110
1,240026,3512080
1,240056,3512050
1,240056,3511990
1,240086,3511960
1,240086,3511900
1,240116,3511870
1,240116,3511810
1,240146,3511780
1,240146,3511750
1,240176,3511720
1,240176,3511690
1,240206,3511660
1,240206,3511630
1,240236,3511600
1,240236,3511330
1,240266,3511300
1,240326,3511240
1,240326,3511210
1,240416,3511120
1,240416,3511090
1,240716,3510790
1,240716,3510730
1,240776,3510670
1,240836,3510670
1,240866,3510640
1,241166,3510640
1,241196,3510610
1,241226,3510610
1,241256,3510580
1,241286,3510580
1,241316,3510550
1,241406,3510550
1,241436,3510520
1,241526,3510520
1,241796,3510250
1,241826,3510250
1,241856,3510220
1,241946,3510220
1,242006,3510160
1,242096,3510160
1,242216,3510040
1,242216,3510010
1,242336,3509890
1,242396,3509890
1,242426,3509860
1,242846,3509860
1,242876,3509890
1,242906,3509890
1,242936,3509920
1,243056,3509920
1,243086,3509950
1,243236,3509950
1,243476,3509710
1,243476,3509680
1,243506,3509650
1,243506,3509560
1,243536,3509530
1,243566,3509530
1,243596,3509500
1,243626,3509500
1,243746,3509380
1,243746,3509350
1,243806,3509290
1,243806,3509260
1,243836,3509230
1,243836,3509200
1,244526,3508510
1,244526,3508420
1,244556,3508390
1,244556,3508270
1,244676,3508150
2,242651,3513860
2,242726,3513790
2,242726,3513670
2,242756,3513640
2,242756,3513550
2,242786,3513520
2,242786,3513490
2,242816,3513460
2,242816,3513430
2,242936,3513310
2,242936,3513160
2,242966,3513130
2,242966,3513070
2,243146,3512890
2,243146,3512800
2,243266,3512680
2,243266,3512380
2,243296,3512350
2,243296,3512170
2,243386,3512080
2,243386,3511120
2,243446,3511060
2,243446,3511000
2,243476,3510970
2,243476,3510940
2,243506,3510910
2,243536,3510910
2,243566,3510880
2,243566,3510430
2,244046,3509950
2,244106,3509950
2,244466,3509590
2,244466,3509560
2,244496,3509530
2,244496,3509500
2,244526,3509470
2,244526,3509200
2,244706,3509020
2,244706,3508990
2,244736,3508960
2,244736,3508810
2,244766,3508780
2,244766,3508540
2,244676,3508450
2,244676,3508150
3,242891,3508150
3,242936,3508150
3,242966,3508120
3,242996,3508120
3,243056,3508180
3,243656,3508180
3,243716,3508120
3,243746,3508120
3,243776,3508090
3,244046,3508090
3,244076,3508060
3,244166,3508060
3,244346,3507880
3,244406,3507880
3,244466,3507820
3,244466,3507790
3,244556,3507700
3,244586,3507700
3,244766,3507520
4,244676,3508150
4,244676,3508120
4,244706,3508090
4,244706,3508060
4,244736,3508030
4,244736,3507880
4,244766,3507850
4,244766,3507520
5,244766,3507520
5,245006,3507280
5,245066,3507280
5,245126,3507220
5,245276,3507220
5,245426,3507070
5,245456,3507070
5,245546,3506980
5,245576,3506980
5,245606,3506950
5,245636,3506950
5,245726,3506860
5,245786,3506860
5,245816,3506830
5,245921,3506830
